Row Labels
A.N. Pritzker School
NEUTRAL
ORGANIZED
Abraham Lincoln Elementary School
STRONG
WELL ORGANIZED
Academy for Global Citizenship Charter School
NEUTRAL
WELL ORGANIZED
Acero Charter Schools - Bartolomé de las Casas
NEUTRAL
WELL ORGANIZED
Acero Charter Schools - Brighton Park
NEUTRAL
ORGANIZED
Acero Charter Schools - Carlos Fuentes
NEUTRAL
MODERATELY ORGANIZED
Acero Charter Schools - Esmeralda Santiago
VERY STRONG
WELL ORGANIZED
Acero Charter Schools - Jovita Idar
WEAK
NOT YET ORGANIZED
Acero Charter Schools - Major Hector P. Garcia MD
NEUTRAL
PARTIALLY ORGANIZED
Acero Charter Schools - Octavio Paz Campus
WEAK
PARTIALLY ORGANIZED
Acero Charter Schools - Officer Donald J. Marquez
WEAK
ORGANIZED
Acero Charter Schools - PFC Omar E. Torres
NEUTRAL
PARTIALLY ORGANIZED
Acero Charter Schools - Roberto Clemente
WEAK
NOT YET ORGANIZED
Acero Charter Schools - Rufino Tamayo
STRONG
WELL ORGANIZED
Acero Charter Schools - Sandra Cisneros
WEAK
MODERATELY ORGANIZED
Acero Charter Schools - Sor Juana Inés de la Cruz
NEUTRAL
NOT YET ORGANIZED
Acero Charter Schools - SPC Daniel Zizumbo
NEUTRAL
PARTIALLY ORGANIZED
Acero Charter Schools - Victoria Soto
STRONG
ORGANIZED
Adam Clayton Powell Paideia Community Academy ES
NEUTRAL
MODERATELY ORGANIZED
Adlai E Stevenson Elementary School
STRONG
WELL ORGANIZED
Agustin Lara Elementary Academy
STRONG
WELL ORGANIZED
Air Force Academy High School
NEUTRAL
ORGANIZED
Al Raby High School
NEUTRAL
WELL ORGANIZED
Alain Locke Charter School
NOT ENOUGH DATA
NOT ENOUGH DATA
Albany Park Multicultural Academy
NEUTRAL
ORGANIZED
Albert G Lane Technical High School
STRONG
WELL ORGANIZED
Albert R Sabin Elementary Magnet School
NEUTRAL
ORGANIZED
Alessandro Volta Elementary School
NEUTRAL
ORGANIZED
Alex Haley Elementary Academy
STRONG
WELL ORGANIZED
Alexander Graham Bell Elementary School
NEUTRAL
WELL ORGANIZED
Alexander Graham Elementary School
NEUTRAL
MODERATELY ORGANIZED
Alexander Hamilton Elementary School
STRONG
WELL ORGANIZED
Alfred Nobel Elementary School
WEAK
WELL ORGANIZED
Alice L Barnard Computer Math & Science Ctr ES
VERY WEAK
PARTIALLY ORGANIZED
Ambrose Plamondon Elementary School
STRONG
WELL ORGANIZED
Amelia Earhart Options for Knowledge ES
STRONG
WELL ORGANIZED
Amos Alonzo Stagg Elementary School
STRONG
WELL ORGANIZED
Andrew Carnegie Elementary School
NEUTRAL
ORGANIZED
Andrew Jackson Elementary Language Academy
WEAK
NOT YET ORGANIZED
Anna R. Langford Community Academy
VERY WEAK
NOT YET ORGANIZED
Annie Keller Regional Gifted Center
VERY STRONG
WELL ORGANIZED
Ariel Elementary Community Academy
WEAK
WELL ORGANIZED
Arnold Mireles Elementary Academy
WEAK
MODERATELY ORGANIZED
Art in Motion Charter School
(blank)
(blank)
Arthur A Libby Elementary School
NEUTRAL
PARTIALLY ORGANIZED
Arthur Dixon Elementary School
STRONG
WELL ORGANIZED
Arthur E Canty Elementary School
NEUTRAL
WELL ORGANIZED
Arthur R Ashe Elementary School
WEAK
WELL ORGANIZED
Asa Philip Randolph Elementary School
NEUTRAL
PARTIALLY ORGANIZED
Ashburn Community Elementary School
NEUTRAL
WELL ORGANIZED
Asian Human Services - Passages Charter School
WEAK
ORGANIZED
ASPIRA Business and Finance
NEUTRAL
NOT YET ORGANIZED
ASPIRA Charter School - Early College High School
STRONG
WELL ORGANIZED
ASPIRA Charter School - Haugan Middle School
STRONG
WELL ORGANIZED
Augustus H Burley Elementary School
NEUTRAL
ORGANIZED
Austin College and Career Academy High School
NEUTRAL
ORGANIZED
Avalon Park Elementary School
STRONG
MODERATELY ORGANIZED
Avondale-Logandale Elementary School
NEUTRAL
WELL ORGANIZED
Back of the Yards IB HS
STRONG
WELL ORGANIZED
Barbara Vick Early Childhood & Family Center
NOT ENOUGH DATA
WELL ORGANIZED
Belmont-Cragin Elementary School
NEUTRAL
WELL ORGANIZED
Benito Juarez Community Academy High School
STRONG
WELL ORGANIZED
Benjamin E Mays Elementary Academy
NEUTRAL
NOT YET ORGANIZED
Bernhard Moos Elementary School
NEUTRAL
WELL ORGANIZED
Beulah Shoesmith Elementary School
NEUTRAL
WELL ORGANIZED
Blair Early Childhood Center
NOT ENOUGH DATA
WELL ORGANIZED
Bowen High School
NEUTRAL
ORGANIZED
Bret Harte Elementary School
NEUTRAL
ORGANIZED
Brian Piccolo Elementary Specialty School
STRONG
WELL ORGANIZED
Brighton Park Elementary School
WEAK
PARTIALLY ORGANIZED
Bronzeville Classical Elementary School
NOT ENOUGH DATA
NOT ENOUGH DATA
Bronzeville Scholastic Academy High School
NEUTRAL
PARTIALLY ORGANIZED
Burnham Elementary Inclusive Academy
NEUTRAL
MODERATELY ORGANIZED
Burnside Elementary Scholastic Academy
NEUTRAL
ORGANIZED
Calmeca Academy of Fine Arts and Dual Language
STRONG
WELL ORGANIZED
Camelot - Chicago Excel Academy
STRONG
ORGANIZED
Camelot Excel - Englewood HS
STRONG
WELL ORGANIZED
Camelot Excel - Southshore HS
NOT ENOUGH DATA
NOT ENOUGH DATA
Camelot Excel - Southwest HS
STRONG
WELL ORGANIZED
Camelot Safe Elementary
NOT ENOUGH DATA
NOT ENOUGH DATA
Camelot Safe HS
NOT ENOUGH DATA
NOT ENOUGH DATA
Carl Schurz High School
NEUTRAL
ORGANIZED
Carl von Linne Elementary School
STRONG
WELL ORGANIZED
Carrie Jacobs Bond Elementary School
VERY STRONG
PARTIALLY ORGANIZED
Carroll-Rosenwald Specialty Elementary School
VERY STRONG
WELL ORGANIZED
Carter G Woodson South Elementary School
STRONG
ORGANIZED
Catalyst - Maria Charter School
WEAK
ORGANIZED
Catalyst Elementary Charter School - Circle Rock
STRONG
WELL ORGANIZED
Cesar E Chavez Multicultural Academic Center ES
NEUTRAL
WELL ORGANIZED
Charles Allen Prosser Career Academy High School
STRONG
ORGANIZED
Charles Evans Hughes Elementary School
NEUTRAL
ORGANIZED
Charles G Hammond Elementary School
WEAK
MODERATELY ORGANIZED
Charles Gates Dawes Elementary School
NEUTRAL
WELL ORGANIZED
Charles H Wacker Elementary School
VERY STRONG
ORGANIZED
Charles Kozminski Elementary Community Academy
WEAK
ORGANIZED
Charles N Holden Elementary School
NEUTRAL
MODERATELY ORGANIZED
Charles P Caldwell Academy of Math & Science ES
VERY STRONG
WELL ORGANIZED
Charles P Steinmetz College Preparatory HS
NEUTRAL
WELL ORGANIZED
Charles R Darwin Elementary School
STRONG
WELL ORGANIZED
Charles R Henderson Elementary School
NEUTRAL
ORGANIZED
Charles S Brownell Elementary School
NEUTRAL
ORGANIZED
Charles S Deneen Elementary School
VERY STRONG
WELL ORGANIZED
Charles Sumner  Math & Science Community Acad ES
NEUTRAL
WELL ORGANIZED
Charles W Earle Elementary School
WEAK
NOT YET ORGANIZED
Chicago Academy Elementary School
NEUTRAL
ORGANIZED
Chicago Academy High School
NEUTRAL
ORGANIZED
Chicago Collegiate Charter School
WEAK
PARTIALLY ORGANIZED
Chicago High School for Agricultural Sciences
STRONG
WELL ORGANIZED
Chicago High School for the Arts (ChiArts)
STRONG
MODERATELY ORGANIZED
Chicago Math and Science Academy Charter School
NEUTRAL
WELL ORGANIZED
Chicago Military Academy High School
NEUTRAL
WELL ORGANIZED
Chicago Technology Academy High School
STRONG
WELL ORGANIZED
Chicago Virtual Charter School
NEUTRAL
ORGANIZED
Chicago Vocational Career Academy High School
NEUTRAL
WELL ORGANIZED
Christian Ebinger Elementary School
STRONG
WELL ORGANIZED
Christian Fenger Academy High School
STRONG
WELL ORGANIZED
Christopher Columbus Elementary School
VERY STRONG
WELL ORGANIZED
Christopher House Charter School
NOT ENOUGH DATA
ORGANIZED
CICS - Avalon/South Shore
NEUTRAL
ORGANIZED
CICS - Basil
NEUTRAL
PARTIALLY ORGANIZED
CICS - Bucktown
NEUTRAL
WELL ORGANIZED
CICS - ChicagoQuest North
STRONG
WELL ORGANIZED
CICS - Irving Park
NEUTRAL
ORGANIZED
CICS - Lloyd Bond
NEUTRAL
MODERATELY ORGANIZED
CICS - Longwood
VERY WEAK
ORGANIZED
CICS - Loomis Primary
NOT ENOUGH DATA
ORGANIZED
CICS - Northtown
VERY STRONG
WELL ORGANIZED
CICS - Prairie
WEAK
PARTIALLY ORGANIZED
CICS - Ralph Ellison
NEUTRAL
ORGANIZED
CICS - Washington Park
NEUTRAL
ORGANIZED
CICS - West Belden
STRONG
WELL ORGANIZED
CICS - Wrightwood
WEAK
WELL ORGANIZED
Clara Barton Elementary School
NEUTRAL
ORGANIZED
Claremont Academy Elementary School
VERY STRONG
WELL ORGANIZED
Collins Academy High School
VERY STRONG
WELL ORGANIZED
Columbia Explorers Elementary Academy
NEUTRAL
WELL ORGANIZED
Consuella B York Alternative HS
NEUTRAL
ORGANIZED
Countee Cullen Elementary School
STRONG
ORGANIZED
Crown Community Academy of Fine Arts Center ES
VERY STRONG
WELL ORGANIZED
Cyrus H McCormick Elementary School
NOT ENOUGH DATA
WELL ORGANIZED
Daniel Boone Elementary School
STRONG
WELL ORGANIZED
Daniel C Beard Elementary School
NOT ENOUGH DATA
WELL ORGANIZED
Daniel Hale Williams Prep School of Medicine
STRONG
WELL ORGANIZED
Daniel J Corkery Elementary School
WEAK
ORGANIZED
Daniel R Cameron Elementary School
NEUTRAL
WELL ORGANIZED
Daniel S Wentworth Elementary School
WEAK
PARTIALLY ORGANIZED
Daniel Webster Elementary School
VERY STRONG
ORGANIZED
David G Farragut Career Academy High School
NEUTRAL
ORGANIZED
DeVry University Advantage Academy HS
VERY STRONG
WELL ORGANIZED
Dewey Elementary Academy of Fine Arts
VERY STRONG
WELL ORGANIZED
DeWitt Clinton Elementary School
VERY STRONG
WELL ORGANIZED
Disney II Magnet High School
NEUTRAL
WELL ORGANIZED
Disney II Magnet School
STRONG
WELL ORGANIZED
Donald Morrill Math & Science Elementary School
WEAK
NOT YET ORGANIZED
Douglas Taylor Elementary School
WEAK
NOT YET ORGANIZED
Dr  Martin Luther King  Jr  College Prep HS
NEUTRAL
MODERATELY ORGANIZED
Dr Jorge Prieto Math and Science
WEAK
PARTIALLY ORGANIZED
Dr. Martin L. King Jr Academy of Social Justice
NEUTRAL
PARTIALLY ORGANIZED
Dunne Technology Academy
VERY STRONG
WELL ORGANIZED
Durkin Park Elementary School
NEUTRAL
WELL ORGANIZED
Dvorak Technology Academy
STRONG
WELL ORGANIZED
Edgar Allan Poe Elementary Classical School
NEUTRAL
WELL ORGANIZED
Edgebrook Elementary School
NEUTRAL
WELL ORGANIZED
Edison Park Elementary School
NEUTRAL
ORGANIZED
Edmond Burke Elementary School
NEUTRAL
WELL ORGANIZED
Edward A Bouchet Math & Science Academy ES
STRONG
WELL ORGANIZED
Edward Beasley Elementary Magnet Academic Center
NEUTRAL
WELL ORGANIZED
Edward Coles Elementary Language Academy
WEAK
PARTIALLY ORGANIZED
Edward E. Sadlowski Elementary School
NEUTRAL
WELL ORGANIZED
Edward Everett Elementary School
NOT ENOUGH DATA
WELL ORGANIZED
Edward K Ellington Elementary School
VERY STRONG
WELL ORGANIZED
Edward N Hurley Elementary School
WEAK
ORGANIZED
Edward Tilden Career Community Academy HS
NEUTRAL
WELL ORGANIZED
Edward White Elementary Career Academy
NEUTRAL
ORGANIZED
Edwin G. Foreman College and Career Academy
NEUTRAL
PARTIALLY ORGANIZED
Eli Whitney Elementary School
WEAK
PARTIALLY ORGANIZED
Eliza Chappell Elementary School
STRONG
WELL ORGANIZED
Elizabeth H Sutherland Elementary School
NEUTRAL
ORGANIZED
Ella Flagg Young Elementary School
WEAK
ORGANIZED
Ellen H Richards Career Academy High School
NEUTRAL
PARTIALLY ORGANIZED
Ellen Mitchell Elementary School
STRONG
WELL ORGANIZED
Emil G Hirsch Metropolitan High School
VERY STRONG
ORGANIZED
Emiliano Zapata Elementary Academy
STRONG
WELL ORGANIZED
Emmett Louis Till Math and Science Academy
VERY STRONG
WELL ORGANIZED
Englewood STEM High School
(blank)
(blank)
Enrico Tonti Elementary School
NOT ENOUGH DATA
PARTIALLY ORGANIZED
EPIC Academy Charter High School
STRONG
WELL ORGANIZED
Eric Solorio Academy High School
STRONG
WELL ORGANIZED
Erie Elementary Charter School
WEAK
NOT YET ORGANIZED
Ernst Prussing Elementary School
WEAK
ORGANIZED
Esmond Elementary School
NEUTRAL
WELL ORGANIZED
Eugene Field Elementary School
NEUTRAL
WELL ORGANIZED
Everett McKinley Dirksen Elementary School
WEAK
PARTIALLY ORGANIZED
Evergreen Academy Middle School
STRONG
WELL ORGANIZED
Fairfield Elementary Academy
WEAK
PARTIALLY ORGANIZED
Federico Garcia Lorca Elementary School
NEUTRAL
WELL ORGANIZED
Ferdinand Peck Elementary School
NOT ENOUGH DATA
WELL ORGANIZED
Fernwood Elementary School
VERY STRONG
WELL ORGANIZED
Florence Nightingale Elementary School
NEUTRAL
WELL ORGANIZED
Fort Dearborn Elementary School
NEUTRAL
MODERATELY ORGANIZED
Foster Park Elementary School
VERY STRONG
WELL ORGANIZED
Foundations College Preparatory Charter School
NEUTRAL
WELL ORGANIZED
Francis M McKay Elementary School
NEUTRAL
WELL ORGANIZED
Francis W Parker Elementary Community Academy
WEAK
WELL ORGANIZED
Francisco I Madero Middle School
NEUTRAL
WELL ORGANIZED
Frank I Bennett Elementary School
NEUTRAL
WELL ORGANIZED
Frank L Gillespie Elementary School
STRONG
WELL ORGANIZED
Frank W Gunsaulus Elementary Scholastic Academy
NEUTRAL
WELL ORGANIZED
